,ISBN,User-ID,Book-Title,Book-Author,Publisher,Book-Rating,Image-URL-M
16,0425144658,204864.0,Seneca Falls Inheritance,Miriam Grace Monfredo,Berkley Publishing Group,0.0,http://images.amazon.com/images/P/0425144658.01.MZZZZZZZ.jpg
17,0553291394,269566.0,"Star Trek: The Classic Episodes, Vol. 2 - The 25th-Anniversary Editions",James Blish,Spectra Books,0.0,http://images.amazon.com/images/P/0553291394.01.MZZZZZZZ.jpg
18,0517035839,249111.0,Agatha Christie: 5 Complete Hercule Poirot Novels (Avenel Suspense Classics),Agatha Christie,Random House Value Publishing,9.0,http://images.amazon.com/images/P/0517035839.01.MZZZZZZZ.jpg
19,0345340965,180378.0,The Renegades of Pern (The Dragonriders of Pern),Anne McCaffrey,Ballantine Books,7.0,http://images.amazon.com/images/P/0345340965.01.MZZZZZZZ.jpg
20,0060929383,127429.0,More Tales of the City (Showtime Tie-In Edition),Armistead Maupin,Perennial,0.0,http://images.amazon.com/images/P/0060929383.01.MZZZZZZZ.jpg
21,0425156257,105262.0,Violent Spring (Ivan Monk Mysteries),Gary Phillips,Berkley Publishing Group,5.0,http://images.amazon.com/images/P/0425156257.01.MZZZZZZZ.jpg
22,0385319037,88631.0,Animal Husbandry,Laura Zigman,Delta,5.0,http://images.amazon.com/images/P/0385319037.01.MZZZZZZZ.jpg
23,0812549007,181714.0,Darkangel,Meredith Ann Pierce,St Martins Press,10.0,http://images.amazon.com/images/P/0812549007.01.MZZZZZZZ.jpg
24,0812036034,152249.0,The Tempest (Shakespeare Made Easy : Modern English Version Side-By-Side With Full Original Text),William Shakespeare,Barron's Educational Series,0.0,http://images.amazon.com/images/P/0812036034.01.MZZZZZZZ.jpg
25,0812576489,197775.0,Mars Crossing,Geoffrey A. Landis,Tor Science Fiction,0.0,http://images.amazon.com/images/P/0812576489.01.MZZZZZZZ.jpg
26,0380732688,11120.0,Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,Avon,0.0,http://images.amazon.com/images/P/0380732688.01.MZZZZZZZ.jpg
27,0446606812,92547.0,Message in a Bottle,Nicholas Sparks,Warner Vision,0.0,http://images.amazon.com/images/P/0446606812.01.MZZZZZZZ.jpg
28,0553101838,232131.0,"Protein Power: The High-Protein/Low Carbohydrate Way to Lose Weight, Feel Fit, and Boost Your Health-in Just Weeks!","Michael R., MD Eades",Bantam,0.0,http://images.amazon.com/images/P/0553101838.01.MZZZZZZZ.jpg
29,0446351946,129358.0,Across a Starlit Sea,Rebecca Brandewyne,Warner Books (Mm),0.0,http://images.amazon.com/images/P/0446351946.01.MZZZZZZZ.jpg
30,0816727821,278418.0,Fossil Detective (Nature Club),Joyce Pope,Troll Communications,0.0,http://images.amazon.com/images/P/0816727821.01.MZZZZZZZ.jpg
31,0345327349,127826.0,Stress Management: A Comprehensive Guide to Wellness,Edward A. Charlesworth,Ballantine Books,0.0,http://images.amazon.com/images/P/0345327349.01.MZZZZZZZ.jpg
32,0553581023,188273.0,Follow the Stars Home,Luanne Rice,Bantam Books,8.0,http://images.amazon.com/images/P/0553581023.01.MZZZZZZZ.jpg
33,0373710720,181777.0,"Mr. Congeniality (Harlequin Superromance, No. 1072)",Sherry Lewis,Harlequin,0.0,http://images.amazon.com/images/P/0373710720.01.MZZZZZZZ.jpg
34,0523480423,93047.0,Wells of Hell: Triump-Cn16dp,William L. Masterton,Tor Books,0.0,http://images.amazon.com/images/P/0523480423.01.MZZZZZZZ.jpg
35,0140159320,91449.0,Murther and Walking Spirits,Robertson Davies,Penguin Books Ltd,0.0,http://images.amazon.com/images/P/0140159320.01.MZZZZZZZ.jpg
36,0804114986,141444.0,The Bonesetter's Daughter,Amy Tan,Ballantine Books,8.0,http://images.amazon.com/images/P/0804114986.01.MZZZZZZZ.jpg
37,0609602330,185677.0,"Isaac's Storm : A Man, a Time, and the Deadliest Hurricane in History",ERIK LARSON,Crown,6.0,http://images.amazon.com/images/P/0609602330.01.MZZZZZZZ.jpg
38,074343627X,38950.0,Dreamcatcher,Stephen King,Pocket,0.0,http://images.amazon.com/images/P/074343627X.01.MZZZZZZZ.jpg
39,0452276136,251613.0,Five Minutes in Heaven,Lisa Alther,Plume Books,0.0,http://images.amazon.com/images/P/0452276136.01.MZZZZZZZ.jpg
40,055357230X,9140.0,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,Bantam Books,0.0,http://images.amazon.com/images/P/055357230X.01.MZZZZZZZ.jpg
41,0312974922,59390.0,Rough Draft (A Thorn Mystery),James W. Hall,St. Martin's Paperbacks,0.0,http://images.amazon.com/images/P/0312974922.01.MZZZZZZZ.jpg
42,0767902416,250461.0,Managing Martians,DONNA SHIRLEY,Broadway,8.0,http://images.amazon.com/images/P/0767902416.01.MZZZZZZZ.jpg
43,0425179230,35857.0,Point of Impact (Tom Clancy's Net Force (Berkley Publishing Group)),Steve Perry,Berkley Publishing Group,0.0,http://images.amazon.com/images/P/0425179230.01.MZZZZZZZ.jpg
44,0441009840,193499.0,"Deceptions (Laws of the Blood, 4)",Susan Sizemore,Ace Books,3.0,http://images.amazon.com/images/P/0441009840.01.MZZZZZZZ.jpg
45,044630798X,252848.0,And More by Andy Rooney,Andy Rooney,Warner Books,7.0,http://images.amazon.com/images/P/044630798X.01.MZZZZZZZ.jpg
46,0886775515,182393.0,His Conquering Sword (His Conquering Sword),Kate Elliott,Daw Books,0.0,http://images.amazon.com/images/P/0886775515.01.MZZZZZZZ.jpg
47,0446670251,6242.0,The Virgin Suicides,Jeffrey Eugenides,Warner Books,5.0,http://images.amazon.com/images/P/0446670251.01.MZZZZZZZ.jpg
48,0345377591,67246.0,"The Seeress of Kell (The Malloreon, Book 5)",David Eddings,Del Rey Books,10.0,http://images.amazon.com/images/P/0345377591.01.MZZZZZZZ.jpg
49,2290314781,204672.0,Le Dernier Jour d'un condamnÃ?Â©,Victor Hugo,J'ai lu,0.0,http://images.amazon.com/images/P/2290314781.01.MZZZZZZZ.jpg
50,0345339738,94923.0,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,Del Rey,0.0,http://images.amazon.com/images/P/0345339738.01.MZZZZZZZ.jpg
51,0679873066,8936.0,"In Leo's Lair (Zodiac Chillers , No 3)",Carol Ellis,Random House Childrens Books,0.0,http://images.amazon.com/images/P/0679873066.01.MZZZZZZZ.jpg
52,0374234612,237393.0,Plowing the Dark,Richard Powers,"Farrar, Straus and Giroux",9.0,http://images.amazon.com/images/P/0374234612.01.MZZZZZZZ.jpg
53,0060911271,277195.0,Frida: A Biography of Frida Kahlo,Hayden Herrera,Perennial,0.0,http://images.amazon.com/images/P/0060911271.01.MZZZZZZZ.jpg
54,0451193881,163570.0,The Shining,Stephen King,Signet Book,10.0,http://images.amazon.com/images/P/0451193881.01.MZZZZZZZ.jpg
55,0394758250,204864.0,The Lady in the Lake (Vintage Crime/ Black Lizard),Raymond Chandler,Vintage Books USA,0.0,http://images.amazon.com/images/P/0394758250.01.MZZZZZZZ.jpg
56,0871136104,175117.0,Water from the Well,Myra McLarey,Pub Group West,0.0,http://images.amazon.com/images/P/0871136104.01.MZZZZZZZ.jpg
57,0671709453,16237.0,DEEP SIX,Clive Cussler,Pocket,0.0,http://images.amazon.com/images/P/0671709453.01.MZZZZZZZ.jpg
58,0380718758,60797.0,"Snow White, Blood Red",Ellen Datlow,Eos,0.0,http://images.amazon.com/images/P/0380718758.01.MZZZZZZZ.jpg
59,0515127833,33967.0,River's End,Nora Roberts,Jove Books,0.0,http://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg
60,0679441018,52199.0,Memnoch the Devil : The Vampire Chronicles (Vampire Chronicles),ANNE RICE,Knopf,8.0,http://images.amazon.com/images/P/0679441018.01.MZZZZZZZ.jpg
61,0394869346,20115.0,Buddies,Barbara Park,Alfred A. Knopf,0.0,http://images.amazon.com/images/P/0394869346.01.MZZZZZZZ.jpg
62,0440201926,246655.0,Kaleidoscope,Danielle Steel,Dell,0.0,http://images.amazon.com/images/P/0440201926.01.MZZZZZZZ.jpg
63,0517203383,204864.0,The Exploits of Sherlock Holmes: A Collection of Sherlock Holmes Adventures Based on Unsolved Cases from the Original Sir Arthur Conan Doyle Stories,Adrian Conan Doyle,Gramercy Books,0.0,http://images.amazon.com/images/P/0517203383.01.MZZZZZZZ.jpg
64,0891079076,231210.0,"Annie Henry and the Mysterious Stranger (Adventures of the American Revolution, Bk. 3)",Susan Olasky,Good News Publishers,0.0,http://images.amazon.com/images/P/0891079076.01.MZZZZZZZ.jpg
65,0525941282,187145.0,The Statement,Brian Moore,Penguin USA,0.0,http://images.amazon.com/images/P/0525941282.01.MZZZZZZZ.jpg
66,0590471015,268833.0,Silent Witness,Carol Ellis,Scholastic Paperbacks (Mm),0.0,http://images.amazon.com/images/P/0590471015.01.MZZZZZZZ.jpg
67,0373709420,44296.0,"Last - Minute Marriage (Riverbend) (Superromance, 942)",Marisa Carroll,Harlequin,0.0,http://images.amazon.com/images/P/0373709420.01.MZZZZZZZ.jpg
68,0747255369,236727.0,Maggie's Market,Dee Williams,Trafalgar Square,0.0,http://images.amazon.com/images/P/0747255369.01.MZZZZZZZ.jpg
69,006095275X,189334.0,"Male Couple's Guide 3e : Finding a Man, Making a Home, Building a Life",Eric Marcus,Perennial Currents,0.0,http://images.amazon.com/images/P/006095275X.01.MZZZZZZZ.jpg
70,0312267061,99520.0,"Letters from Cleo and Tyrone: A Feline Perspective on Love, Life, and Litter",L. Virginia Browne,St. Martin's Griffin,10.0,http://images.amazon.com/images/P/0312267061.01.MZZZZZZZ.jpg
71,0425161242,3331.0,Chromosome 6,Robin Cook,Berkley Publishing Group,10.0,http://images.amazon.com/images/P/0425161242.01.MZZZZZZZ.jpg
72,0515126489,115120.0,Critical Mass,Steven Paul Martini,Jove Books,0.0,http://images.amazon.com/images/P/0515126489.01.MZZZZZZZ.jpg
73,0439078059,125039.0,"Isabel: Jewel of Castilla, Spain, 1466 (The Royal Diaries)",Carolyn Meyer,Scholastic,0.0,http://images.amazon.com/images/P/0439078059.01.MZZZZZZZ.jpg
74,0385503822,123676.0,The Summons,John Grisham,Doubleday Books,0.0,http://images.amazon.com/images/P/0385503822.01.MZZZZZZZ.jpg
75,0142001805,31158.0,The Eyre Affair: A Novel,Jasper Fforde,Penguin Books,6.0,http://images.amazon.com/images/P/0142001805.01.MZZZZZZZ.jpg
76,8441412995,219432.0,Mitos de Cthulhu I . Dagon,Howard Philips Lovecraft,Edaf,0.0,http://images.amazon.com/images/P/8441412995.01.MZZZZZZZ.jpg
77,0449213757,147224.0,Surfacing,Margaret Atwood,Fawcett Books,0.0,http://images.amazon.com/images/P/0449213757.01.MZZZZZZZ.jpg
78,0451093763,104165.0,Tom Sullivan's Adventures in Darkness,Derek L. Gill,NAL/Dutton,0.0,http://images.amazon.com/images/P/0451093763.01.MZZZZZZZ.jpg
79,0380700972,198711.0,"I, Tina",Tina Turner,Avon,0.0,http://images.amazon.com/images/P/0380700972.01.MZZZZZZZ.jpg
80,081297106X,128325.0,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,Random House Trade Paperbacks,0.0,http://images.amazon.com/images/P/081297106X.01.MZZZZZZZ.jpg
81,0312195516,200226.0,The Red Tent (Bestselling Backlist),Anita Diamant,Picador USA,8.0,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
82,009925672X,95359.0,Into the Forest,Hegland Jean,Trafalgar Square,9.0,http://images.amazon.com/images/P/009925672X.01.MZZZZZZZ.jpg
83,0805059555,173835.0,"\O\"" Is for Outlaw""",Sue Grafton,Henry Holt &amp; Company,10.0,http://images.amazon.com/images/P/0805059555.01.MZZZZZZZ.jpg
84,0060090367,252426.0,Watermelon,Marian Keyes,Perennial,10.0,http://images.amazon.com/images/P/0060090367.01.MZZZZZZZ.jpg
85,8408022393,156243.0,El Premio (Serie Carvalho),Manuel Vazquez Montalban,Planeta Editorial S A,0.0,http://images.amazon.com/images/P/8408022393.01.MZZZZZZZ.jpg
86,0679424253,102359.0,Killing for Company: The Story of a Man Addicted to Murder,Brian Masters,Random House Inc,5.0,http://images.amazon.com/images/P/0679424253.01.MZZZZZZZ.jpg
87,0385721420,58911.0,Three Junes,JULIA GLASS,Anchor,0.0,http://images.amazon.com/images/P/0385721420.01.MZZZZZZZ.jpg
88,0140433880,18254.0,Middlemarch (Penguin Classics),George Eliot,Penguin Books,5.0,http://images.amazon.com/images/P/0140433880.01.MZZZZZZZ.jpg
89,3596803055,236989.0,Die groÃ?Â?e Flatter. ( Ab 12 J.).,Leonie Ossowski,"Fischer (Tb.), Frankfurt",8.0,http://images.amazon.com/images/P/3596803055.01.MZZZZZZZ.jpg
90,0525943404,129489.0,The Policy,Patrick Lynch,Penguin USA,0.0,http://images.amazon.com/images/P/0525943404.01.MZZZZZZZ.jpg
91,0439063353,89216.0,Snail Mail No More,Paula Danziger,Scholastic,10.0,http://images.amazon.com/images/P/0439063353.01.MZZZZZZZ.jpg
92,0060172118,245674.0,Talk Sexy to the One You Love: (And Drive Each Other Wild in Bed),"Barbara, Phd Keesling",Harpercollins,8.0,http://images.amazon.com/images/P/0060172118.01.MZZZZZZZ.jpg
93,0441646611,35050.0,Cat-A-Lyst,Alan Dean Foster,Ace Books,0.0,http://images.amazon.com/images/P/0441646611.01.MZZZZZZZ.jpg
94,0843942991,126736.0,Ward (The Cowboys),Leigh Greenwood,Leisure Books,0.0,http://images.amazon.com/images/P/0843942991.01.MZZZZZZZ.jpg
95,0375726403,161880.0,Empire Falls,Richard Russo,Vintage Books USA,0.0,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg
96,0805019359,39773.0,J is for Judgment,Sue Grafton,Henry Holt &amp; Company,0.0,http://images.amazon.com/images/P/0805019359.01.MZZZZZZZ.jpg
97,0553289810,172030.0,Across a Wine-Dark Sea,Jessica Bryan,Bantam Books,0.0,http://images.amazon.com/images/P/0553289810.01.MZZZZZZZ.jpg
98,0425151867,76352.0,Acceptable Risk,Robin Cook,Berkley Publishing Group,0.0,http://images.amazon.com/images/P/0425151867.01.MZZZZZZZ.jpg
99,0515113719,228311.0,The Simeon Chamber,Steven Paul Martini,Jove Books,0.0,http://images.amazon.com/images/P/0515113719.01.MZZZZZZZ.jpg
100,0553277464,15651.0,Beaches,Iris Rainer Dart,Bantam Books,8.0,http://images.amazon.com/images/P/0553277464.01.MZZZZZZZ.jpg
101,1575662000,225810.0,Still Life (Adam McCleet Mysteries (Paperback)),Rick Hanson,Kensington Publishing Corporation,0.0,http://images.amazon.com/images/P/1575662000.01.MZZZZZZZ.jpg
102,9010029603,131675.0,Het moerastouw (Elseviers literaire serie),Piet Valkman,Elsevier Manteau,0.0,http://images.amazon.com/images/P/9010029603.01.MZZZZZZZ.jpg
103,0805001271,248388.0,Swimming Pool Season,Rose Tremain,Henry Holt &amp; Co,9.0,http://images.amazon.com/images/P/0805001271.01.MZZZZZZZ.jpg
104,0440225701,99650.0,The Street Lawyer,JOHN GRISHAM,Dell,0.0,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg
105,0671019945,32195.0,No Mercy,John Walsh,Pocket Star,0.0,http://images.amazon.com/images/P/0671019945.01.MZZZZZZZ.jpg
106,1585673137,240113.0,As High As the Scooter Can Fly,Lia Nirgad,Overlook Press,0.0,http://images.amazon.com/images/P/1585673137.01.MZZZZZZZ.jpg
107,0679735879,100724.0,The Unconsoled,Kazuo Ishiguro,Vintage Books USA,0.0,http://images.amazon.com/images/P/0679735879.01.MZZZZZZZ.jpg
108,0399209387,35859.0,Legend of the Bluebonnet,Tomie dePaola,Putnam Publishing Group,0.0,http://images.amazon.com/images/P/0399209387.01.MZZZZZZZ.jpg
109,0449211916,234623.0,Keeping in Touch,Ellen Goodman,Fawcett Books,0.0,http://images.amazon.com/images/P/0449211916.01.MZZZZZZZ.jpg
110,0425177068,144555.0,Family Honor,Robert B. Parker,Berkley Publishing Group,0.0,http://images.amazon.com/images/P/0425177068.01.MZZZZZZZ.jpg
111,0590880306,31556.0,Girls in Love,Cherie Bennett,Scholastic,0.0,http://images.amazon.com/images/P/0590880306.01.MZZZZZZZ.jpg
112,0140149708,236727.0,Peace Work,Milligan,"Penguin Books, Limited (UK)",8.0,http://images.amazon.com/images/P/0140149708.01.MZZZZZZZ.jpg
113,0373224265,190925.0,"Familiar Heart (Fear Familiar) (Harlequin Intrigue , Vol 426)",Caroline Burnes,Harlequin,0.0,http://images.amazon.com/images/P/0373224265.01.MZZZZZZZ.jpg
114,0451198565,242824.0,Fair Game (Signet Regency Romance),Diane Farr,Signet Book,0.0,http://images.amazon.com/images/P/0451198565.01.MZZZZZZZ.jpg
115,0866119930,13164.0,Anne of Green Gables (Great Illustrated Classics),L.M. Montgomery,Playmore Inc. Publishers,8.0,http://images.amazon.com/images/P/0866119930.01.MZZZZZZZ.jpg
116,0671016652,28619.0,Three Wishes,Barbara Delinsky,Pocket,0.0,http://images.amazon.com/images/P/0671016652.01.MZZZZZZZ.jpg
117,0425144372,69232.0,Clear and Present Danger,Tom Clancy,Berkley Publishing Group,0.0,http://images.amazon.com/images/P/0425144372.01.MZZZZZZZ.jpg
118,1576574067,236283.0,The Passion and the Fury,Amanda Jean Jarrett,"Paradise Press, Inc.",0.0,http://images.amazon.com/images/P/1576574067.01.MZZZZZZZ.jpg
119,0670896764,103277.0,A Day Late and a Dollar Short,Terry McMillan,Viking Books,5.0,http://images.amazon.com/images/P/0670896764.01.MZZZZZZZ.jpg
120,0385721420,43842.0,Three Junes,JULIA GLASS,Anchor,0.0,http://images.amazon.com/images/P/0385721420.01.MZZZZZZZ.jpg
121,0451179714,16795.0,Lamia: A Witch,Georgia Taylor,New Amer Library (Mm),0.0,http://images.amazon.com/images/P/0451179714.01.MZZZZZZZ.jpg
122,0330330373,9571.0,The Sculptress,Minette Walters,Macmillan Pub Ltd,10.0,http://images.amazon.com/images/P/0330330373.01.MZZZZZZZ.jpg
123,0380767406,74113.0,A Rose at Midnight (An Avon Romantic Treasure),Anne Stuart,Harper Mass Market Paperbacks (Mm),0.0,http://images.amazon.com/images/P/0380767406.01.MZZZZZZZ.jpg
124,042510107X,57959.0,Red Storm Rising,Tom Clancy,Berkley Publishing Group,0.0,http://images.amazon.com/images/P/042510107X.01.MZZZZZZZ.jpg
125,0671660632,196077.0,Dirk Gently's Holistic Detective Agency,Douglas Adams,Pocket,0.0,http://images.amazon.com/images/P/0671660632.01.MZZZZZZZ.jpg
126,0316198951,94347.0,Jim the Boy : A Novel,Tony Earley,Back Bay Books,7.0,http://images.amazon.com/images/P/0316198951.01.MZZZZZZZ.jpg
127,0671692712,225810.0,SEASON IN HELL,Jack Higgins,Pocket,0.0,http://images.amazon.com/images/P/0671692712.01.MZZZZZZZ.jpg
128,0425101452,264321.0,Phantoms,Dean R. Koontz,Berkley Publishing Group,0.0,http://images.amazon.com/images/P/0425101452.01.MZZZZZZZ.jpg
129,0553256157,83512.0,I Know Why the Caged Bird Sings,Maya Angelou,Bantam Books,0.0,http://images.amazon.com/images/P/0553256157.01.MZZZZZZZ.jpg
130,0671553011,225191.0,HARVEST,Tess Gerritsen,Atria,9.0,http://images.amazon.com/images/P/0671553011.01.MZZZZZZZ.jpg
131,1400030382,224138.0,The Piano Tuner : A Novel,DANIEL MASON,Vintage,0.0,http://images.amazon.com/images/P/1400030382.01.MZZZZZZZ.jpg
132,1570982880,185384.0,"The Life and Times of Darryl Sutter: Wit, Wisdom, and Tougher Love","E.C, McEnery",Roberts Rinehart Publishers,0.0,http://images.amazon.com/images/P/1570982880.01.MZZZZZZZ.jpg
133,0156260263,114592.0,"The Diary Of Anais Nin, Volume 2 (1934-1939)",Anais Nin,Harvest Books,0.0,http://images.amazon.com/images/P/0156260263.01.MZZZZZZZ.jpg
134,0942084241,157811.0,Fox 13 Tampa Bay One Tank Trips With Bill Murphy,Bill Murphy,Seaside Publishing,10.0,http://images.amazon.com/images/P/0942084241.01.MZZZZZZZ.jpg
135,006440403X,269799.0,Tituba of Salem Village,Ann Petry,HarperCollins Publishers,0.0,http://images.amazon.com/images/P/006440403X.01.MZZZZZZZ.jpg
136,0875421369,233911.0,Celtic Magic (Llewellyn's World Magic Series),Deanna J. Conway,Llewellyn Publications,10.0,http://images.amazon.com/images/P/0875421369.01.MZZZZZZZ.jpg
137,0670032573,124876.0,"Wizard and Glass (The Dark Tower, Book 4)",Stephen King,Viking Books,10.0,http://images.amazon.com/images/P/0670032573.01.MZZZZZZZ.jpg
138,3596142229,217565.0,Die Herrin von Avalon.,Marion Zimmer Bradley,"Fischer (Tb.), Frankfurt",0.0,http://images.amazon.com/images/P/3596142229.01.MZZZZZZZ.jpg
139,0060392452,180917.0,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,Regan Books,0.0,http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg
140,0091739675,217121.0,The day gone by: An autobiography,Richard Adams,Hutchinson,0.0,http://images.amazon.com/images/P/0091739675.01.MZZZZZZZ.jpg
141,0671867091,69355.0,Remember Me,Mary Higgins Clark,Pocket,0.0,http://images.amazon.com/images/P/0671867091.01.MZZZZZZZ.jpg
142,0385474415,129851.0,1001 Things Everyone Should Know About the South,John Shelton Reed,Doubleday Books,0.0,http://images.amazon.com/images/P/0385474415.01.MZZZZZZZ.jpg
143,0385337272,210587.0,The Devil's Banker,CHRISTOPHER REICH,Delacorte Press,6.0,http://images.amazon.com/images/P/0385337272.01.MZZZZZZZ.jpg
144,0688084915,190459.0,Nothing Lasts Forever,Sidney Sheldon,Harpercollins Childrens Books,0.0,http://images.amazon.com/images/P/0688084915.01.MZZZZZZZ.jpg
145,0805210601,214786.0,The Sunflower: On the Possibilities and Limits of Forgiveness (Newly Expanded Paperback Edition),Simon Wiesenthal,Schocken Books,0.0,http://images.amazon.com/images/P/0805210601.01.MZZZZZZZ.jpg
146,0006498159,220867.0,The Queen of Diamonds,Jean Plaidy,HarperCollins,0.0,http://images.amazon.com/images/P/0006498159.01.MZZZZZZZ.jpg
147,0141301147,165308.0,Danny the Champion of the World (Puffin Novels),Roald Dahl,Puffin Books,0.0,http://images.amazon.com/images/P/0141301147.01.MZZZZZZZ.jpg
148,0330253603,266866.0,Wilt,Tom Sharpe,Pan Books in association with Secker &amp; Warburg,0.0,http://images.amazon.com/images/P/0330253603.01.MZZZZZZZ.jpg
149,2842191382,66255.0,Meufs mimosas,Sylvie Rouch,Baleine,6.0,http://images.amazon.com/images/P/2842191382.01.MZZZZZZZ.jpg
150,0553288474,269439.0,Deadly Valentine,Carolyn G. Hart,Bantam Books,10.0,http://images.amazon.com/images/P/0553288474.01.MZZZZZZZ.jpg
151,0898704456,252244.0,Love and Responsibility,Karol Wojtyla,Ignatius Press,10.0,http://images.amazon.com/images/P/0898704456.01.MZZZZZZZ.jpg
152,0671755056,40553.0,SHAMPOO PLANET,Douglas Coupland,Atria,0.0,http://images.amazon.com/images/P/0671755056.01.MZZZZZZZ.jpg
153,0446610445,98391.0,That Summer,Joan Wolf,Warner Forever,9.0,http://images.amazon.com/images/P/0446610445.01.MZZZZZZZ.jpg
154,0898797411,248718.0,Body Trauma: A Writer's Guide to Wounds and Injuries (Howdunit Series),David W. Page,Writer's Digest Books,9.0,http://images.amazon.com/images/P/0898797411.01.MZZZZZZZ.jpg
155,0553231081,52917.0,Southern Discomfort,Rita Mae Brown,Bantam Books,8.0,http://images.amazon.com/images/P/0553231081.01.MZZZZZZZ.jpg
156,044018424X,149690.0,Swag,Elmore Leonard,Dell Publishing Company,0.0,http://images.amazon.com/images/P/044018424X.01.MZZZZZZZ.jpg
157,0345347536,173773.0,A Spell for Chameleon (Xanth Novels (Paperback)),Piers Anthony,Del Rey Books,7.0,http://images.amazon.com/images/P/0345347536.01.MZZZZZZZ.jpg
158,0861631226,180778.0,Kittens (Award Animal Series),Kathryn Spink,Award Publications,0.0,http://images.amazon.com/images/P/0861631226.01.MZZZZZZZ.jpg
159,0385511612,92184.0,Bleachers,John Grisham,Doubleday,6.0,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg
160,0671672878,98356.0,WINDS OF WAR,Herman Wouk,Pocket,0.0,http://images.amazon.com/images/P/0671672878.01.MZZZZZZZ.jpg
161,0515060208,242006.0,Sprig Muslin,Georgette Heyer,Jove Books,0.0,http://images.amazon.com/images/P/0515060208.01.MZZZZZZZ.jpg
162,0553278274,135294.0,A Night to Remember,WALTER LORD,Bantam,0.0,http://images.amazon.com/images/P/0553278274.01.MZZZZZZZ.jpg
163,3423242345,16867.0,Vor der ElfendÃ?Â¤mmerung.,Jean-Louis Fetjaine,Dtv,7.0,http://images.amazon.com/images/P/3423242345.01.MZZZZZZZ.jpg
164,0440221919,143134.0,The Blood Countess: A Novel,Andrei Codrescu,Dell,0.0,http://images.amazon.com/images/P/0440221919.01.MZZZZZZZ.jpg
